LineId,Content,EventId,EventTemplate
1,A passenger aircraft is approaching. Descend as soon as possible,E10,E10
2,A passenger aircraft is nearby. Fly with caution,E10,E10
3,AE Locked. Metering disabled,E200,E200
4,APAS has been enabled,E136,E136
5,API Automatic Return Home,E221,E221
6,API Automatic Takeoff,E159,E159
7,Abnormal compass function or GPS signal detected. Aircraft switched to ATTI mode,E259,E259
8,Accelerator is Over Range,E224,E224
9,Account not logged in. Flight altitude and distance restricted to nnn and nnn. Check and log in,E309,E309
10,ActiveTrack Flight Ended: Aircraft is entering a restricted area,E34,E34
11,ActiveTrack Flight Ended: Cannot find subject,E178,E178
12,ActiveTrack Flight Ended: Control Signal Timeout (RC),E14,E14
13,ActiveTrack Flight Paused,E285,E285
14,ActiveTrack Flight Stopped Aircraft Entering Restricted Area,E34,E34
15,Advanced RTH Image Transmission Recovered. Aircraft is returning home,E268,E268
16,AirSense communication error. Unable to display nearby manned aircraft and anti-collision warnings. Fly with caution,E215,E215
17,Aircraft ActiveTrack available at max speed. Obstacle Avoidance is not available,E113,E113
18,"Aircraft ActiveTrack available at max speed. When exceeding nnn, Obstacle Avoidance is not available",E113,E113
19,Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally,E335,E335
20,Aircraft ActiveTrack max speed of nnn. Left and right Obstacle Sensing systems are available,E335,E335
21,Aircraft Core Board Overheated,E54,E54
22,Aircraft GPS interference. Aircraft unable to fly stably. Land or return to home promptly,E226,E226
23,Aircraft GPS signal too weak. Home Point not updated,E58,E58
24,Aircraft antenna satellite signal searching error. Fly with caution,E236,E236
25,Aircraft approaching obstacle sensing blind spot and may be unable to detect obstacles. Fly with caution,E269,E269
26,Aircraft battery level low. Return to home promptly,E12,E12
27,Aircraft close to Home Point. go home shifts to landing.,E3,E3
28,Aircraft entered Fixed-Wing Mode. Current flight speed is nnn. Press C2 to exit,E182,E182
29,Aircraft exceeded distance limit and has exited Hyperlapse mode,E225,E225
30,Aircraft flight control locked,E80,E80
31,Aircraft flight control obtained by remote controller A,E36,E36
32,Aircraft flight control obtained by remote controller B,E36,E36
33,Aircraft flight control obtained by remote controller UNKNOWN,E36,E36
34,Aircraft flight control unlocked,E326,E326
35,Aircraft in Altitude Zone. Max altitude set to nnn,E302,E302
36,Aircraft in Attitude mode. Unable to hover. Fly with caution ,E164,E164
37,Aircraft in Authorization Zone. Unable to take off before unlocking,E219,E219
38,Aircraft in Restricted Zone. Unable to take off. Check map to find Recommended Zones,E130,E130
39,Aircraft in Restricted Zones. Check map to find Recommended Zones,E130,E130
40,Aircraft in high interference environment. Fly with caution,E43,E43
41,Aircraft in high interference environment. Manually adjust flight route or return to home,E43,E43
42,Aircraft is close to Home Point. Return-to-Home Mode is now Auto Landing Mode.,E3,E3
43,Aircraft is close to the Home Point. Initiating Return to Home will now trigger Auto Landing.,E3,E3
44,Aircraft is entering a restricted area,E34,E34
45,Aircraft is flying back to the start point,E119,E119
46,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",E164,E164
47,Aircraft is in QuickShot Mode. Ensure your enviornment is free of potential obstacles.,E155,E155
48,Aircraft is in Sport Mode. Exit this mode and try again,E27,E27
49,Aircraft is in Tripod Mode. Exit this mode and try again,E296,E296
50,"Aircraft is landing due to low voltage, which cannot be stopped. You can decelerate the descending speed and avoid obstacles using sticks",E284,E284
