message,label
A passenger aircraft is approaching. Descend as soon as possible,4
A passenger aircraft is nearby. Fly with caution,2
Abnormal compass function or GPS signal detected. Aircraft switched to ATTI mode,3
Accelerator is Over Range,3
Account not logged in. Flight altitude and distance restricted to nnn and nnn. Check and log in,2
ActiveTrack Flight Ended: Aircraft is entering a restricted area,4
ActiveTrack Flight Ended: Cannot find subject,3
ActiveTrack Flight Ended: Control Signal Timeout (RC),3
ActiveTrack Flight Paused,2
ActiveTrack Flight Stopped Aircraft Entering Restricted Area,4
Advanced RTH Image Transmission Recovered. Aircraft is returning home,1
AE Locked. Metering disabled,2
Aircraft ActiveTrack available at max speed. Obstacle Avoidance is not available,3
"Aircraft ActiveTrack available at max speed. When exceeding nnn, Obstacle Avoidance is not available",3
Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally,3
Aircraft ActiveTrack max speed of nnn. Left and right Obstacle Sensing systems are available,3
Aircraft antenna satellite signal searching error. Fly with caution,3
Aircraft approaching obstacle sensing blind spot and may be unable to detect obstacles. Fly with caution,2
Aircraft battery level low. Return to home promptly,3
Aircraft close to Home Point. go home shifts to landing.,1
Aircraft Core Board Overheated,4
Aircraft entered Fixed-Wing Mode. Current flight speed is nnn. Press C2 to exit,2
Aircraft exceeded distance limit and has exited Hyperlapse mode,3
Aircraft flight control locked,4
Aircraft flight control obtained by remote controller A,1
Aircraft flight control obtained by remote controller B,1
Aircraft flight control obtained by remote controller UNKNOWN,1
Aircraft flight control unlocked,1
Aircraft GPS interference. Aircraft unable to fly stably. Land or return to home promptly,3
Aircraft GPS signal too weak. Home Point not updated,3
Aircraft in Altitude Zone. Max altitude set to nnn,1
Aircraft in Attitude mode. Unable to hover. Fly with caution ,2
Aircraft in Authorization Zone. Unable to take off before unlocking,4
Aircraft in high interference environment. Fly with caution,2
Aircraft in high interference environment. Manually adjust flight route or return to home,2
Aircraft in Restricted Zone. Unable to take off. Check map to find Recommended Zones,4
Aircraft in Restricted Zones. Check map to find Recommended Zones,4
Aircraft is close to Home Point. Return-to-Home Mode is now Auto Landing Mode.,1
Aircraft is close to the Home Point. Initiating Return to Home will now trigger Auto Landing.,1
Aircraft is entering a restricted area,4
Aircraft is flying back to the start point,1
"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",2
Aircraft is in QuickShot Mode. Ensure your enviornment is free of potential obstacles.,1
Aircraft is in QuickShot Mode. Ensure your enviornment is free of potential obstacles.,1
Aircraft is in Sport Mode. Exit this mode and try again,1
Aircraft is in Tripod Mode. Exit this mode and try again,1
"Aircraft is landing due to low voltage, which cannot be stopped. You can decelerate the descending speed and avoid obstacles using sticks",4
Aircraft is now following you.,1
